timestamp,tag,wined3d_cs_pct,live_proc_pct,busy_thread_pct,busy_thread_comm,wineserver_ctxt_delta,xruns,xrun_window_s,dsp_load_pct,pw_rate,pw_quantum,pw_force_quantum,pw_node_quantum,live_version,webview2_version,gpu_renderer,pipewire_version,kernel,runtime_version
2026-08-01T21:26:43Z,baseline/00-empty-idle,1.1,30.4,9.7,MainThread,218786,0,300,3.4,48000,512,0,256,12.4.3,149.0.4022.80,AMD Radeon 8060S Graphics (radeonsi; strix_halo; ACO; DRM 3.64; 7.1.4-1-cachyos),1.6.8,7.1.4-1-cachyos,2026.08.01.1
2026-08-01T22:31:15Z,before/launcher-rr-idle,0.5,8.5,2.9,MainThread,217831,242,300,2.4,48000,512,0,256,12.4.3,149.0.4022.80,AMD Radeon 8060S Graphics (radeonsi; strix_halo; ACO; DRM 3.64; 7.1.4-1-cachyos),1.6.8,7.1.4-1-cachyos,2026.08.01.1
2026-08-01T22:36:35Z,before/launcher-rr-play,0.5,8.5,3.2,MainThread,305018,228,300,2.3,48000,512,0,256,12.4.3,149.0.4022.80,AMD Radeon 8060S Graphics (radeonsi; strix_halo; ACO; DRM 3.64; 7.1.4-1-cachyos),1.6.8,7.1.4-1-cachyos,2026.08.01.1
2026-08-01T22:56:56Z,after/launcher-rr-idle,0.5,6.3,2.7,MainThread,215793,0,300,0.6,48000,512,0,256,12.4.3,149.0.4022.80,AMD Radeon 8060S Graphics (radeonsi; strix_halo; ACO; DRM 3.64; 7.1.4-1-cachyos),1.6.8,7.1.4-1-cachyos,2026.08.01.1
2026-08-01T23:02:16Z,after/launcher-rr-play,0.7,7.9,3.9,MainThread,216326,0,300,0.6,48000,512,0,256,12.4.3,149.0.4022.80,AMD Radeon 8060S Graphics (radeonsi; strix_halo; ACO; DRM 3.64; 7.1.4-1-cachyos),1.6.8,7.1.4-1-cachyos,2026.08.01.1
